Наименование,"Расчетная масса, кг/км","Наружный диаметр, мм",Минимальный барабан,"Макс. длина в бухте (≈50 кг), м"
ELKACABLE АПвБВнг(A)-LS 3х150/50ТАСг - 35кВ,"10 415,0","93,0","
№ 20б — 85 м№ 22а — 165 м№ 22б — 115 м№ 25 — 340 м№ 26 — 490 м

",4
ELKACABLE АПвБВнг(A)-LS 3х150/50ТАСг - 6кВ,"5 735,0","64,0","
№ 18 — 200 м№ 20 — 325 м№ 20а — 440 м№ 20б — 185 м№ 22в — 480 м№ 22б — 240 м№ 22а — 355 м№ 22 — 420 м№ 25 — 730 м№ 26 — 1050 м

",8
ELKACABLE АПвБВнг(A)-LS 3х185/50ТАСг - 10кВ,"7 100,0","72,0","
№ 18 — 150 м№ 20 — 245 м№ 20б — 140 м№ 22в — 360 м№ 22б — 180 м№ 22а — 265 м№ 22 — 315 м№ 25 — 550 м№ 26 — 790 м

",7
ELKACABLE АПвБВнг(A)-LS 3х185/50ТАСг - 20кВ,"8 720,0","82,0","
№ 20б — 110 м№ 22 — 245 м№ 22а — 205 м№ 22б — 140 м№ 22в — 280 м№ 25 — 430 м№ 26 — 610 м

",5
ELKACABLE АПвБВнг(A)-LS 3х185/50ТАСг - 35кВ,"11 420,0","97,0","
№ 20б — 80 м№ 22б — 100 м№ 25 — 310 м№ 26 — 442 м

",4
ELKACABLE АПвБВнг(A)-LS 3х185/50ТАСг - 6кВ,"6 435,0","68,0","
№ 18 — 175 м№ 20 — 280 м№ 20б — 160 м№ 22в — 420 м№ 22б — 210 м№ 22а — 305 м№ 22 — 360 м№ 25 — 630 м№ 26 — 900 м

",7
ELKACABLE АПвБВнг(A)-LS 3х240/50ТАСг - 10кВ,"8 200,0","78,0","
№ 20 — 215 м№ 20б — 120 м№ 22в — 320 м№ 22б — 160 м№ 22а — 235 м№ 22 — 275 м№ 25 — 485 м№ 26 — 690 м

",6
ELKACABLE АПвБВнг(A)-LS 3х240/50ТАСг - 20кВ,"9 970,0","88,0","
№ 20б — 95 м№ 22а — 185 м№ 22б — 125 м№ 25 — 380 м№ 26 — 546 м

",5
ELKACABLE АПвБВнг(A)-LS 3х240/50ТАСг - 35кВ,"12 775,0","103,0","№ 22б — 90 м
",3
ELKACABLE АПвБВнг(A)-LS 3х240/50ТАСг - 6кВ,"7 625,0","74,0","
№ 18 — 150 м№ 20 — 245 м№ 20б — 140 м№ 22в — 360 м№ 22б — 180 м№ 22а — 265 м№ 22 — 315 м№ 25 — 550 м№ 26 — 790 м

",6
ELKACABLE АПвБВнг(A)-LS 3х35/16ТАСг - 10кВ,"3 475,0","51,0","
№ 14а — 130 м№ 17а — 375 м№ 17 — 315 м№ 18 — 340 м№ 18а — 460 м№ 20б — 285 м№ 20а — 690 м№ 20 — 510 м№ 22 — 655 м№ 22а — 550 м№ 22б — 375 м№ 22в — 750 м№ 25 — 1150 м№ 26 — 1635 м

",14
ELKACABLE АПвБВнг(A)-LS 3х35/16ТАСг - 20кВ,"4 675,0","61,0","
№ 18 — 200 м№ 20 — 325 м№ 20а — 440 м№ 20б — 185 м№ 22в — 480 м№ 22б — 240 м№ 22а — 355 м№ 22 — 420 м№ 25 — 730 м№ 26 — 1050 м

",10
ELKACABLE АПвБВнг(A)-LS 3х35/16ТАСг - 6кВ,"3 025,0","47,0","
№ 14 — 270 м№ 14а — 150 м№ 16а — 175 м№ 16 — 165 м№ 17 — 370 м№ 17а — 440 м№ 18б — 490 м№ 18а — 535 м№ 18 — 400 м№ 20 — 595 м№ 20а — 810 м№ 20б — 335 м№ 22в — 885 м№ 22б — 440 м№ 22а — 645 м№ 22 — 770 м№ 25 — 1345 м№ 26 — 1920 м

",16
